,TOTAL,aldehydic,alliaceous,amber,animal,anise,aromatic,balsamic,berry,bitter,burnt,buttery,camphoreous,caramellic,cheesy,chocolate,citrus,clean,cocoa,coconut,coffee,cooling,coumarinic,creamy,dairy,earthy,ethereal,fatty,fermented,floral,fresh,fruity,green,herbal,honey,meaty,medicinal,melon,minty,musk,musty,nutty,oily,onion,orris,phenolic,powdery,roasted,rummy,soapy,solvent,sour,spicy,sulfurous,sweet,tropical,vanilla,vegetable,waxy,winey,woody
MPNN-GNN,0.8883760621060871,0.8270054517133956,0.9736979166666667,0.8850308641975309,0.9208528037383177,0.8972881832232682,0.8506393143178307,0.9302207130730051,0.8786458333333333,0.7774353706557097,0.8538218111002922,0.8858506944444444,0.9340185372120767,0.9427416134185304,0.9370740019474196,0.7855838134045243,0.8981439565414214,0.9083883658845019,0.8138019638432596,0.8415123456790123,0.9473302229134266,0.8971153846153846,0.9484309852973448,0.8132887245407056,0.850272585669782,0.8025889967637542,0.936774437511817,0.8959245678365636,0.9323465649996263,0.8961121733588272,0.8136309965126177,0.91450767214126,0.8849415204678364,0.8293353276619613,0.8051215277777777,0.9676309321232747,0.8471152199965759,0.9122670807453417,0.9082835370867826,0.9074048053955318,0.7364928909952606,0.9057337220602526,0.862644101054697,0.9807439537329128,0.9049813473776607,0.9708201892744479,0.8362573099415205,0.9534245516388373,0.8492342279050162,0.9156441717791411,0.9286538461538462,0.8376543209876544,0.8750278706800446,0.981282629330802,0.81062734082397,0.9003618421052633,0.976927570093458,0.9105251089199725,0.923889555822329,0.9219341044898854,0.8675262533875339
GIN-GNN,0.8516058325767517,0.8619107,0.9345545,0.80389166,0.60277545,0.7212037,0.30404103,0.7643969,0.6372663,0.6929271,0.779418,0.77542025,0.8539813,0.78332794,0.78721917,0.5808853,0.8011328,0.6308886,0.79193264,0.76165974,0.9053147,0.7845197,0.83410823,0.7005901,0.7781359,0.60337913,0.7599232,0.7936055,0.7330021,0.7306525,0.6656513,0.78566843,0.66346437,0.62433845,0.819673,0.9145081,0.76422864,0.765208,0.77377963,0.8432549,0.6258137,0.7431128,0.7447266,0.9655247,0.8496156,0.78562284,0.73146546,0.8672049,0.82379085,0.58458275,0.5594233,0.7302561,0.61201215,0.9636662,0.672175,0.72716284,0.83364666,0.73494273,0.76860476,0.8298536,0.83325624
Morgan Fingerprint,0.8214316964149475,0.857282,0.9383531,0.79574966,0.690681,0.7496646,0.26937237,0.7823212,0.65497327,0.5152894,0.78021294,0.73943937,0.8260066,0.77512026,0.8489931,0.69486916,0.7918244,0.56578773,0.81867605,0.8405043,0.8863881,0.6896151,0.82626,0.71883523,0.7271225,0.63993144,0.81274295,0.82133085,0.600511,0.7262383,0.62938213,0.7831295,0.7224879,0.6599753,0.8138814,0.91153014,0.7433524,0.7063128,0.81686246,0.92923063,0.61242336,0.7754983,0.66983247,0.95857924,0.80169106,0.81030834,0.6940772,0.82704467,0.7756173,0.62096894,0.5755392,0.7704486,0.74255764,0.96193796,0.6573372,0.6822336,0.8588449,0.680784,0.7762389,0.76160306,0.79928553
