,acidic,aldehydic,alliaceous,amber,animal,anise,aromatic,balsamic,berry,bitter,bready,brown,burnt,buttery,camphoreous,caramellic,cheesy,chemical,chocolate,citrus,clean,cocoa,coconut,coffee,cooling,coumarinic,creamy,dairy,earthy,estery,ethereal,fatty,fermented,floral,fresh,fruity,fungal,fusel,green,herbal,honey,jammy,licorice,marine,meaty,medicinal,melon,mentholic,minty,mossy,musk,musty,nutty,oily,onion,orris,phenolic,powdery,roasted,rummy,soapy,solvent,sour,spicy,sulfurous,sweet,thujonic,tonka,tropical,vanilla,vegetable,waxy,winey,woody
MPNN-GNN,0.982218413,0.9060993115,0.8939357183,0.9456035004,0.592631784,0.8507702956,0.781771179,0.8912972094,0.9091650146,0.4516077492,0.7402336337,0.8422859267,0.818552605,0.9456593649,0.851641635,0.8750726348,0.951501981,0.7326678619,0.9477555388,0.8031868172,0.8495126217,0.5680993424,0.9052183871,0.9402027227,0.3547693724,0.8185648704,0.7778984577,0.5596644937,0.3693028324,0.7046878568,0.7962966713,0.7005376413,0.7509624803,0.7763464445,0.9104471927,0.7834931395,0.7430793668,0.6949714063,0.6359466235,0.6636192617,0.9235785051,0.8275073313,0.8562556453,0.5754463587,0.917129558,0.8546474245,0.4045912577,0.7582853976,0.734904461,0.9407550716,0.9133981961,0.6195661785,0.8056712112,0.5514932078,0.9526747059,0.290991969,0.7457307943,0.6347801917,0.8487581538,0.5577875458,0.6685724308,0.7238740741,0.987147486,0.7332137062,0.8197665246,0.5768583456,0.5342897452,0.8232654476,0.5217778292,0.9758381567,0.8378683019,0.81878502,0.6864727652,0.8692144586
GIN-GNN,0.9940702,0.86555445,0.9746233,0.9573842,0.6417909,0.92021203,0.6487303,0.7080701,0.7677722,0.17071865,0.9128287,0.509078,0.77547634,0.9300024,0.8708296,0.8826057,0.9717381,0.9390227,0.8099633,0.7708976,0.79580235,0.5632837,0.8679402,0.92017823,0.33220896,0.9470597,0.83941275,0.42803773,0.41766527,0.7723324,0.8174407,0.867036,0.8257606,0.7902736,0.90466815,0.7681297,0.6086802,0.8165616,0.63810813,0.69651717,0.8432037,0.85236967,0.9361184,0.8191466,0.96802926,0.47395647,0.26900792,0.91183186,0.6868671,0.9721352,0.8459792,0.56532085,0.7614602,0.46721768,0.9715813,0.4607384,0.83778644,0.5409399,0.9476779,0.44964406,0.7399069,0.38997388,0.9968342,0.6607751,0.94072074,0.16716316,0.7605399,0.8872924,0.54820025,0.9187302,0.80929947,0.80848557,0.7639362,0.9087804
Morgan Fingerprint,0.8785457098479736,0.8413724178104722,0.9623409791552203,0.9378449219191345,0.5658717864157995,0.9650375811991974,0.6492694677530271,0.9181123414698674,0.8940072594152615,0.4978034095066943,0.7853844331456272,0.5639387224384091,0.3708521249820388,0.9321263922034131,0.7564200756696382,0.8923445384944277,0.9935982418323639,0.07854395107215278,0.960243148587614,0.6768205753890579,0.5643098855438579,0.5332250446429607,0.88445190874051,0.9574915461952205,0.42013055522520937,0.9126652814919687,0.7011559574354693,0.6947633317361694,0.5016877759169206,0.6063033749063826,0.6881832999887407,0.6757570866427474,0.71433677996178,0.8129783531305405,0.9799831186340823,0.8052577496106041,0.6206933430791765,0.711778474903475,0.6628573483655307,0.6627531614231206,0.9817994780684987,0.5690380155644424,0.9234760585582975,0.4874999125767973,0.8291165611138176,0.8399193124403121,0.47779111708712174,0.8179333925006143,0.8347432120348002,0.9947783539724371,0.8707657024812137,0.4089494883610125,0.7944838589922829,0.5272817713381971,0.46928702446496573,0.3340037352125217,0.5095212995225247,0.4079712611884194,0.6578215023266807,0.40840270342894847,0.6476886029195759,0.27762318756123405,0.9513395019244985,0.6470186117621334,0.9040306004148262,0.4209562103331379,0.869813846742318,0.7657374593890411,0.5464035909885043,0.9767039694347147,0.6949802204658342,0.6946800174253965,0.7326447781217268,0.8694556983171629
